Age,Attrition,BusinessTravel,DistanceFromHome,Education,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance
Middle-age,No,Frequently,Short,Bachelor,Rappresentative,Low,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Technician,Very_high,Divorced,Lower,No,Excellent,Novice,Better
Young,No,Rarely,Short,Master,Technician,Low,Divorced,Lower,No,Excellent,Novice,Better
Young,Yes,Rarely,Long,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Good
Young,No,Frequently,Short,Bachelor,Director,High,Single,Higher,No,Excellent,Competent,Better
Middle-age,No,Frequently,Short,College,Rappresentative,Very_high,Single,On_average,No,Outstanding,Competent,Better
Senior,Yes,Rarely,Medium,Bachelor,Manager,High,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Non-Travel,Long,Master,Rappresentative,High,Single,On_average,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Medium,College,Technician,Medium,Married,Lower,No,Outstanding,Competent,Better
Senior,No,Frequently,Short,Master,Rappresentative,Very_high,Single,On_average,Yes,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Technician,Very_high,Married,Lower,No,Excellent,Novice,Better
Senior,Yes,Rarely,Short,College,Director,High,Single,On_average,Yes,Excellent,Expert,Better
Young,Yes,Rarely,Short,Master,Technician,High,Single,Lower,Yes,Excellent,Novice,Good
Senior,No,Rarely,Short,Doctor,Rappresentative,Low,Divorced,On_average,Yes,Outstanding,Competent,Good
Middle-age,No,Non-Travel,Medium,College,Director,Low,Married,Higher,Yes,Excellent,Competent,Better
Young,No,Rarely,Long,Bachelor,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,College,Director,Very_high,Single,Higher,Yes,Excellent,Proficient,Better
Middle-age,No,Frequently,Medium,Doctor,Director,Low,Married,Higher,No,Outstanding,Competent,Good
Middle-age,No,Rarely,Long,Master,Technician,Low,Married,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Divorced,On_average,No,Outstanding,Competent,Good
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Best
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,On_average,Yes,Outstanding,Competent,Better
Middle-age,No,Frequently,Long,Doctor,Rappresentative,Very_high,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Manager,High,Divorced,Higher,Yes,Excellent,Expert,Good
Senior,No,Rarely,Long,Bachelor,Director,Low,Single,Higher,No,Excellent,Expert,Good
Middle-age,No,Rarely,Short,Bachelor,Director,High,Divorced,Higher,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Divorced,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Frequently,Medium,Bachelor,Rappresentative,Medium,Single,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Director,Low,Divorced,Higher,No,Excellent,Expert,Better
Middle-age,No,Frequently,Short,Bachelor,Technician,Low,Married,Lower,No,Excellent,Beginner,Good
Middle-age,Yes,Rarely,Short,Bachelor,Technician,High,Married,Lower,Yes,Excellent,Novice,Good
Senior,No,Frequently,Short,Below_college,Rappresentative,High,Single,On_average,No,Excellent,Expert,Good
Young,No,Rarely,Short,Bachelor,Technician,Medium,Married,Lower,No,Outstanding,Beginner,Better
Middle-age,No,Rarely,Short,Master,Technician,Medium,Single,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,On_average,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Low,Single,On_average,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Master,Director,Low,Married,Higher,Yes,Excellent,Proficient,Best
Middle-age,No,Rarely,Short,Master,Director,High,Single,Higher,No,Excellent,Proficient,Best
Senior,No,Rarely,Short,College,Rappresentative,Medium,Divorced,On_average,Yes,Outstanding,Proficient,Better
Middle-age,No,Rarely,Short,Below_college,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Competent,Good
Middle-age,No,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,College,Director,Very_high,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Non-Travel,Short,Bachelor,Rappresentative,Very_high,Divorced,On_average,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,College,Rappresentative,Medium,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Expert,Good
Young,No,Rarely,Short,Below_college,Technician,Low,Divorced,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Master,Technician,Very_high,Married,Lower,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Senior,Yes,Rarely,Short,College,Director,Very_high,Single,Higher,No,Excellent,Competent,Better
Senior,No,Frequently,Short,Master,Manager,Medium,Married,Higher,No,Outstanding,Expert,Good
Senior,No,Rarely,Long,Master,Rappresentative,Very_high,Single,On_average,Yes,Outstanding,Competent,Bad
Middle-age,No,Rarely,Short,College,Rappresentative,Medium,Divorced,On_average,Yes,Excellent,Competent,Good
Senior,No,Frequently,Short,Bachelor,Director,Low,Married,Higher,Yes,Excellent,Expert,Good
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Single,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Director,High,Married,Higher,No,Excellent,Proficient,Bad
Young,No,Rarely,Short,College,Rappresentative,High,Married,On_average,No,Outstanding,Beginner,Good
Young,No,Non-Travel,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Best
Senior,No,Rarely,Medium,Master,Manager,High,Single,Higher,No,Excellent,Expert,Good
Senior,No,Non-Travel,Long,Bachelor,Rappresentative,Medium,Married,Lower,No,Excellent,Proficient,Best
Middle-age,Yes,Rarely,Short,Master,Technician,Low,Divorced,Lower,Yes,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Technician,Low,Single,Lower,No,Excellent,Novice,Better
Young,Yes,Frequently,Short,Bachelor,Technician,Very_high,Single,Lower,Yes,Excellent,Novice,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Single,On_average,No,Excellent,Proficient,Better
Middle-age,No,Non-Travel,Short,College,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Proficient,Best
Senior,No,Non-Travel,Short,Master,Manager,Very_high,Married,Higher,No,Outstanding,Expert,Better
Senior,No,Frequently,Short,Bachelor,Manager,Medium,Married,Higher,Yes,Excellent,Expert,Good
Young,Yes,Rarely,Short,Bachelor,Rappresentative,High,Single,On_average,Yes,Excellent,Beginner,Better
Young,No,Rarely,Short,Below_college,Technician,Very_high,Married,Lower,No,Excellent,Novice,Better
Young,No,Rarely,Medium,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Novice,Better
Senior,No,Frequently,Short,Master,Director,Low,Single,Higher,No,Outstanding,Expert,Good
Middle-age,Yes,Frequently,Short,Bachelor,Rappresentative,High,Single,On_average,Yes,Outstanding,Competent,Better
Senior,No,Non-Travel,Long,Bachelor,Manager,Very_high,Single,Higher,Yes,Excellent,Expert,Better
Young,No,Rarely,Medium,Below_college,Technician,High,Married,Lower,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Medium,Divorced,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Low,Single,Higher,No,Excellent,Competent,Better
Middle-age,No,Frequently,Medium,College,Director,Very_high,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Technician,Very_high,Divorced,Lower,No,Outstanding,Competent,Better
Senior,No,Frequently,Long,College,Manager,Very_high,Married,Higher,Yes,Excellent,Expert,Best
Middle-age,No,Frequently,Long,Bachelor,Technician,High,Divorced,Lower,No,Outstanding,Competent,Good
Middle-age,No,Non-Travel,Long,College,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Best
Senior,Yes,Rarely,Medium,Master,Technician,Medium,Married,On_average,Yes,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Single,Higher,No,Excellent,Expert,Better
Middle-age,Yes,Rarely,Short,Master,Rappresentative,High,Married,On_average,Yes,Excellent,Competent,Good
Young,No,Rarely,Short,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Beginner,Good
Senior,Yes,Rarely,Long,Master,Director,Very_high,Married,Higher,No,Excellent,Expert,Good
Young,Yes,Rarely,Long,Below_college,Technician,High,Single,Lower,Yes,Excellent,Novice,Good
Young,No,Rarely,Short,Below_college,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Long,Master,Rappresentative,Low,Married,Higher,No,Excellent,Proficient,Good
Senior,No,Frequently,Long,Bachelor,Technician,High,Single,On_average,No,Excellent,Proficient,Better
Senior,No,Frequently,Medium,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Proficient,Better
Middle-age,Yes,Rarely,Long,Bachelor,Rappresentative,High,Married,On_average,Yes,Excellent,Beginner,Better
Senior,No,Rarely,Short,Below_college,Director,High,Divorced,Higher,Yes,Excellent,Competent,Better
Young,No,Rarely,Long,Below_college,Technician,High,Married,Lower,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,College,Rappresentative,Medium,Divorced,On_average,No,Outstanding,Competent,Better
Senior,Yes,Frequently,Short,Master,Director,Very_high,Single,Higher,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Married,On_average,No,Excellent,Proficient,Best
Young,No,Rarely,Long,Bachelor,Rappresentative,High,Married,Higher,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Competent,Bad
Middle-age,Yes,Rarely,Short,Bachelor,Technician,Low,Single,On_average,No,Outstanding,Competent,Best
Senior,No,Rarely,Long,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Competent,Good
Middle-age,No,Rarely,Short,Doctor,Rappresentative,High,Single,On_average,Yes,Outstanding,Proficient,Better
Middle-age,No,Rarely,Medium,Bachelor,Technician,High,Single,Lower,No,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,College,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Competent,Best
Middle-age,No,Rarely,Short,Bachelor,Technician,Low,Divorced,Lower,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Frequently,Medium,Bachelor,Manager,Low,Divorced,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Short,Master,Technician,Low,Married,Lower,No,Outstanding,Competent,Better
Young,No,Rarely,Short,Below_college,Technician,Medium,Single,Lower,No,Excellent,Novice,Better
Senior,No,Frequently,Long,Bachelor,Rappresentative,Medium,Divorced,On_average,No,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Doctor,Director,Medium,Married,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Rappresentative,High,Married,Lower,Yes,Outstanding,Competent,Bad
Senior,No,Rarely,Short,Bachelor,Rappresentative,Medium,Divorced,Lower,No,Excellent,Expert,Bad
Middle-age,No,Frequently,Short,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Competent,Better
Young,No,Non-Travel,Short,Below_college,Rappresentative,High,Married,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Rappresentative,High,Married,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Technician,Medium,Married,Lower,Yes,Outstanding,Competent,Good
Senior,No,Rarely,Short,Master,Director,Very_high,Married,Higher,No,Excellent,Proficient,Good
Middle-age,No,Frequently,Short,Master,Technician,High,Married,Lower,No,Excellent,Beginner,Better
Young,No,Rarely,Medium,Below_college,Technician,Very_high,Married,Lower,No,Outstanding,Novice,Better
Young,No,Non-Travel,Short,Bachelor,Technician,Medium,Divorced,Lower,No,Excellent,Beginner,Bad
Young,No,Rarely,Long,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Bad
Senior,No,Rarely,Long,College,Director,Very_high,Divorced,Higher,Yes,Excellent,Competent,Bad
Young,No,Non-Travel,Short,Bachelor,Technician,High,Divorced,Lower,Yes,Excellent,Novice,Good
Senior,No,Rarely,Medium,Bachelor,Manager,Medium,Single,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Medium,Bachelor,Technician,High,Divorced,Lower,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Very_high,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,Higher,No,Outstanding,Competent,Best
Middle-age,No,Rarely,Short,Doctor,Technician,High,Single,Lower,No,Outstanding,Competent,Better
Young,No,Rarely,Medium,Bachelor,Technician,Medium,Married,Lower,Yes,Excellent,Beginner,Good
Young,Yes,Frequently,Short,Below_college,Technician,Low,Single,Lower,No,Outstanding,Novice,Best
Middle-age,No,Frequently,Short,College,Technician,Medium,Single,Lower,No,Excellent,Competent,Good
Middle-age,No,Non-Travel,Short,Bachelor,Rappresentative,Low,Divorced,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Rappresentative,Low,Divorced,On_average,Yes,Excellent,Competent,Best
Senior,No,Rarely,Short,Bachelor,Technician,Low,Divorced,On_average,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Best
Young,Yes,Rarely,Short,Bachelor,Technician,Very_high,Single,Lower,No,Outstanding,Novice,Good
Senior,No,Rarely,Short,College,Director,Low,Divorced,Higher,No,Outstanding,Expert,Better
Middle-age,No,Rarely,Short,College,Technician,Very_high,Single,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Medium,Below_college,Technician,Very_high,Married,On_average,Yes,Outstanding,Competent,Better
Middle-age,No,Rarely,Long,College,Technician,Medium,Single,Lower,No,Excellent,Competent,Better
Senior,Yes,Rarely,Long,College,Technician,Medium,Single,Lower,Yes,Outstanding,Beginner,Good
Senior,No,Rarely,Short,Bachelor,Technician,High,Married,On_average,No,Excellent,Beginner,Good
Senior,No,Rarely,Medium,College,Rappresentative,Low,Divorced,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Below_college,Manager,High,Married,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Medium,Master,Manager,Medium,Single,Higher,No,Excellent,Expert,Better
Middle-age,No,Frequently,Short,Below_college,Rappresentative,High,Married,Higher,No,Excellent,Competent,Good
Senior,No,Rarely,Short,Bachelor,Manager,Medium,Single,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Master,Manager,High,Married,Higher,No,Excellent,Expert,Better
Young,No,Rarely,Short,Bachelor,Technician,Medium,Single,Lower,No,Excellent,Competent,Good
Middle-age,Yes,Rarely,Long,College,Rappresentative,High,Married,On_average,Yes,Excellent,Competent,Better
Senior,No,Non-Travel,Short,Bachelor,Technician,Very_high,Divorced,Lower,No,Excellent,Competent,Best
Senior,No,Non-Travel,Short,College,Manager,Very_high,Married,Higher,No,Outstanding,Expert,Better
Middle-age,No,Rarely,Long,Bachelor,Technician,Low,Married,Lower,Yes,Excellent,Competent,Good
Middle-age,No,Frequently,Short,Bachelor,Rappresentative,Medium,Single,On_average,No,Excellent,Competent,Better
Senior,No,Non-Travel,Long,College,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,High,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Long,Bachelor,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Bad
Young,No,Frequently,Short,Below_college,Rappresentative,Low,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Non-Travel,Medium,Master,Rappresentative,Very_high,Divorced,Higher,Yes,Excellent,Competent,Better
Middle-age,No,Frequently,Medium,Master,Technician,High,Divorced,On_average,Yes,Excellent,Beginner,Best
Senior,No,Rarely,Medium,College,Rappresentative,Very_high,Married,Lower,Yes,Excellent,Proficient,Best
Middle-age,Yes,Rarely,Long,Below_college,Rappresentative,Low,Married,Higher,Yes,Excellent,Proficient,Better
Young,Yes,Rarely,Long,Bachelor,Director,Very_high,Married,Higher,No,Outstanding,Competent,Good
Young,No,Rarely,Short,Bachelor,Technician,Medium,Divorced,Lower,Yes,Excellent,Beginner,Good
Middle-age,No,Frequently,Medium,Below_college,Technician,Very_high,Single,Lower,No,Excellent,Competent,Better
Senior,No,Non-Travel,Short,Doctor,Rappresentative,Very_high,Married,On_average,No,Excellent,Beginner,Bad
Senior,No,Rarely,Short,Master,Director,Low,Divorced,Higher,No,Excellent,Proficient,Better
Middle-age,Yes,Rarely,Short,Master,Director,Very_high,Married,Higher,No,Excellent,Competent,Good
Middle-age,No,Non-Travel,Short,Below_college,Director,High,Single,Higher,No,Outstanding,Competent,Better
Young,No,Frequently,Long,Bachelor,Rappresentative,High,Single,Higher,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Director,Medium,Married,Higher,No,Excellent,Proficient,Bad
Middle-age,Yes,Rarely,Short,Bachelor,Technician,Low,Single,Lower,Yes,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Director,Very_high,Single,Higher,Yes,Excellent,Proficient,Better
Middle-age,Yes,Frequently,Long,Master,Rappresentative,Low,Single,Higher,No,Excellent,Competent,Good
Young,Yes,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Excellent,Competent,Good
Senior,No,Non-Travel,Short,Bachelor,Director,Very_high,Single,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Bachelor,Rappresentative,Low,Married,On_average,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,College,Rappresentative,Medium,Single,On_average,No,Excellent,Proficient,Best
Middle-age,No,Rarely,Short,Master,Technician,Medium,Married,Lower,No,Outstanding,Competent,Better
Middle-age,No,Frequently,Medium,Bachelor,Director,Very_high,Divorced,Higher,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,High,Divorced,Higher,No,Excellent,Proficient,Good
Middle-age,No,Non-Travel,Short,Master,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Competent,Better
Middle-age,No,Frequently,Short,Master,Technician,Very_high,Divorced,Lower,No,Excellent,Competent,Better
Young,No,Frequently,Short,Below_college,Director,Very_high,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Frequently,Short,Bachelor,Director,High,Single,Higher,No,Excellent,Competent,Best
Young,Yes,Rarely,Medium,Below_college,Technician,Very_high,Single,Lower,Yes,Excellent,Beginner,Good
Senior,No,Rarely,Short,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Good
Senior,No,Rarely,Short,College,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,College,Technician,High,Married,Lower,No,Excellent,Competent,Good
Senior,No,Rarely,Short,Master,Manager,Very_high,Divorced,Higher,No,Excellent,Expert,Good
Middle-age,Yes,Rarely,Medium,Bachelor,Technician,Very_high,Married,Lower,Yes,Excellent,Competent,Bad
Senior,No,Rarely,Medium,Bachelor,Manager,Very_high,Married,Higher,Yes,Outstanding,Expert,Better
Middle-age,Yes,Rarely,Short,College,Technician,Low,Married,Lower,No,Outstanding,Competent,Best
Senior,No,Non-Travel,Short,Master,Manager,High,Single,Higher,Yes,Excellent,Expert,Best
Middle-age,No,Rarely,Short,College,Technician,Medium,Married,On_average,No,Excellent,Beginner,Better
Middle-age,Yes,Rarely,Short,Bachelor,Technician,High,Single,On_average,Yes,Excellent,Beginner,Bad
Middle-age,No,Rarely,Short,Master,Technician,High,Divorced,Lower,No,Excellent,Competent,Better
Middle-age,No,Non-Travel,Long,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Medium,College,Rappresentative,Low,Divorced,Lower,No,Excellent,Proficient,Good
Senior,No,Rarely,Long,College,Rappresentative,Very_high,Divorced,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Frequently,Short,Master,Director,High,Divorced,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Technician,Very_high,Married,Lower,No,Excellent,Novice,Good
Middle-age,No,Rarely,Short,Master,Rappresentative,Low,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Technician,Low,Married,On_average,No,Excellent,Proficient,Good
Senior,No,Frequently,Short,Master,Rappresentative,High,Married,On_average,No,Excellent,Competent,Better
Middle-age,Yes,Frequently,Medium,Bachelor,Director,High,Divorced,Higher,No,Excellent,Proficient,Better
Middle-age,No,Frequently,Short,Master,Director,High,Single,Higher,No,Outstanding,Expert,Better
Young,No,Rarely,Medium,Bachelor,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Medium,College,Rappresentative,Low,Single,Higher,Yes,Excellent,Competent,Better
Young,No,Rarely,Long,College,Rappresentative,Very_high,Divorced,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Technician,Low,Divorced,Lower,Yes,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Manager,High,Divorced,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Novice,Good
Middle-age,Yes,Frequently,Long,College,Technician,Medium,Single,Lower,No,Excellent,Beginner,Best
Middle-age,No,Frequently,Short,Bachelor,Technician,Medium,Married,Lower,No,Outstanding,Beginner,Bad
Middle-age,No,Non-Travel,Short,College,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Rappresentative,Low,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,Medium,Married,Higher,Yes,Excellent,Expert,Good
Young,Yes,Rarely,Short,Master,Technician,High,Single,Lower,No,Excellent,Beginner,Bad
Young,No,Rarely,Short,Bachelor,Rappresentative,Medium,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Long,Bachelor,Rappresentative,Very_high,Married,On_average,No,Outstanding,Competent,Better
Young,No,Non-Travel,Short,College,Rappresentative,Low,Divorced,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Long,College,Manager,Very_high,Married,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Bachelor,Manager,Low,Single,Higher,Yes,Excellent,Expert,Better
Senior,Yes,Non-Travel,Long,Master,Director,Medium,Married,Higher,Yes,Excellent,Competent,Good
Young,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Outstanding,Beginner,Good
